year,vaccination,antibiotics,smallpox,polio
1914,5.7396661919792024e-06,1.3627012642300088e-08,5.43600650766101e-06,1.5094177698214496e-07
1915,5.506388903191756e-06,1.3208656196583846e-08,5.309356382099395e-06,1.4537796982112233e-07
1916,5.22636452261947e-06,1.2713054684373606e-08,5.151641790998188e-06,1.447414807691822e-07
1917,5.010643462810549e-06,1.3181636552125503e-08,5.010669361078207e-06,1.44427185607857e-07
1918,4.868359152762229e-06,1.6678654207735732e-08,4.824550742910105e-06,1.410705509075072e-07
1919,4.675607713571546e-06,1.2298089914486443e-08,4.69129173755586e-06,1.4350907931845063e-07
1920,4.657156247438771e-06,1.7341040234716435e-08,4.683629102584876e-06,1.8299299853197226e-07
1921,4.688297951003863e-06,1.964282800205013e-08,4.82244216267905e-06,1.7600604554754033e-07
1922,4.772054626503826e-06,2.3833592511275052e-08,4.992862516571352e-06,1.7604463306167668e-07
1923,4.843527531558526e-06,2.8496870931434985e-08,5.144936421532163e-06,1.6974294241618132e-07
1924,4.9805749447224505e-06,3.765689932992501e-08,5.162668835672385e-06,1.6709009380872735e-07
1925,5.017436810663055e-06,4.263975560434404e-08,5.293456045559911e-06,1.6934785503273734e-07
1926,5.132109159993499e-06,4.544088198380322e-08,5.2903841297588125e-06,1.6457733798785107e-07
1927,5.203149443998102e-06,4.118856890674863e-08,5.2425414115272625e-06,1.1678794059610807e-07
1928,5.222801774047119e-06,5.2644438921262936e-08,5.172295167150359e-06,1.1424283707135124e-07
1929,5.049012551288408e-06,5.3469122258755145e-08,4.927017631725253e-06,1.1278945616366441e-07
1930,4.925746592578305e-06,6.197909816723398e-08,4.711719924443969e-06,1.1862258092465439e-07
1931,4.710053708834039e-06,5.5542213126377356e-08,4.455992873480292e-06,1.2412412947471196e-07
1932,4.543979402780808e-06,5.370340219745806e-08,4.203887678093972e-06,1.232651228073272e-07
1933,4.306850899281146e-06,5.854881976463667e-08,4.0427912953841124e-06,1.32019077416144e-07
1934,4.119715707620994e-06,8.2648477783831e-08,3.869680719097752e-06,1.5050835400209908e-07
1935,3.952624953943281e-06,8.013651094294718e-08,3.666877319119521e-06,1.56848239475847e-07
1936,3.92852841559131e-06,9.031504047011093e-08,3.5476660298984697e-06,1.6238551389261398e-07
1937,3.988907150999564e-06,9.121929820229571e-08,3.498290335000677e-06,1.831515895770305e-07
1938,3.942824330392471e-06,1.0735328414319361e-07,3.4364186975364774e-06,1.8736561543545145e-07
1939,3.987081824569876e-06,1.2795134365520662e-07,3.390852518642922e-06,2.0591289533784212e-07
1940,4.0212074066760455e-06,1.523477813744226e-07,3.351484914609111e-06,2.4936120746055224e-07
1941,4.107086774800857e-06,2.0248984549426601e-07,3.3720340429762733e-06,3.104139689101361e-07
1942,4.232364034351122e-06,2.9586987805783694e-07,3.4456495125060168e-06,3.973460166926758e-07
1943,4.277487039619895e-06,4.458493030640958e-07,3.417351473038772e-06,5.137360972819392e-07
1944,4.278551745784398e-06,6.246768825387708e-07,3.3900882345148735e-06,6.041428257980945e-07
1945,4.4653880953506235e-06,8.642204406074582e-07,3.3766632329599948e-06,7.638622614436485e-07
1946,4.549198444233786e-06,1.271619183285111e-06,3.3196557294802787e-06,9.54709788304951e-07
1947,4.697125356857765e-06,1.9079605501864146e-06,3.266344056689669e-06,1.1104171629179e-06
1948,4.692583463139499e-06,2.6148196740548106e-06,3.1362816694167705e-06,1.2601710590587345e-06
1949,4.639035656189045e-06,3.517857535432053e-06,2.9750353170194496e-06,1.410842296323267e-06
1950,4.742009981129058e-06,4.600678096774605e-06,2.8807509952092203e-06,1.6559431063204298e-06
1951,4.743999495206351e-06,5.614779283291682e-06,2.7971839214403967e-06,1.8821685066378838e-06
1952,4.68000160732832e-06,6.594734314952737e-06,2.7108053625316382e-06,2.2764912205478334e-06
