year,machine learning,artificial intelligence,big data,neural network,expert system
1991,6.116553051985615e-07,5.405156230153807e-06,5.283228518361747e-09,3.445831867716314e-06,4.7677523765189885e-06
1992,6.628652827903434e-07,5.056785146807995e-06,5.2151718182053784e-09,4.1154153080924524e-06,4.1824487203103085e-06
1993,6.851193243205347e-07,4.623765873036843e-06,5.520777945910992e-09,4.574370841226027e-06,3.548403306043367e-06
1994,6.963349915091654e-07,4.2173074211250746e-06,5.888746405680838e-09,4.7153744578817424e-06,2.8997385549242187e-06
1995,7.185534182901116e-07,3.865201120183721e-06,8.22983298721737e-09,4.661226036262178e-06,2.2926294848600397e-06
1996,7.250180646956039e-07,3.5708600830527563e-06,8.995810213308878e-09,4.511564325428351e-06,1.8388056215457027e-06
1997,7.490360595266817e-07,3.3837860285197104e-06,9.403316025141661e-09,4.265124261897718e-06,1.5110124293369966e-06
1998,7.774648302292876e-07,3.1948336646690582e-06,1.0068967504514979e-08,3.925384945599067e-06,1.2225794602725517e-06
1999,8.010540249538321e-07,3.0336263931372646e-06,1.0204285982168272e-08,3.5089234339734176e-06,9.740210706559488e-07
2000,9.268611103380969e-07,3.0632921730650816e-06,1.1309566937222389e-08,3.288992049123505e-06,8.303263361954447e-07
2001,1.0092976154206314e-06,3.043563041720582e-06,1.178578244918706e-08,3.148321760499633e-06,7.196870587731854e-07
2002,1.1342581027751208e-06,3.0482193675851477e-06,1.044782034696569e-08,3.057215706497069e-06,6.391292930452153e-07
2003,1.23399459463412e-06,3.0409746581178913e-06,1.1079275905442491e-08,3.00598283902482e-06,5.867897952300487e-07
2004,1.3095539799858256e-06,2.9720710332169024e-06,1.1485829395720324e-08,2.899645479154904e-06,5.304726671579679e-07
2005,1.3682647981611799e-06,2.921312384757917e-06,1.129877346148619e-08,2.761426994877882e-06,5.002711668414657e-07
2006,1.4501242472217001e-06,2.847767861397748e-06,1.2691753552384373e-08,2.6974254893222645e-06,4.631369776258205e-07
2007,1.441694341749614e-06,2.677375285666171e-06,1.331630316381679e-08,2.582295642206134e-06,4.2525225188835443e-07
2008,1.5153819786625381e-06,2.573909586039187e-06,2.590929957336071e-08,2.5538839271937216e-06,4.195504446715047e-07
2009,1.4943951621873962e-06,2.5536720933416746e-06,7.705785580111589e-08,2.5337181102409138e-06,4.786268881546667e-07
2010,1.5118862525095468e-06,2.5208337974496383e-06,2.589782599824492e-07,2.4747835337838154e-06,5.016637495889954e-07
2011,1.5451929533354708e-06,2.524027661924119e-06,6.382050889296958e-07,2.4229608626770623e-06,5.271171360668855e-07
2012,1.6196077094703703e-06,2.4343295441653368e-06,1.1536783891407624e-06,2.367361177820929e-06,5.069595515129675e-07
2013,1.7999956643929442e-06,2.4344084696029507e-06,1.8410548029265274e-06,2.3838545132802224e-06,5.077445342267189e-07
2014,2.054367027540646e-06,2.4806848351996024e-06,2.59338163182846e-06,2.451319384176389e-06,5.051810164477136e-07
2015,2.5290300816723947e-06,2.6879672178229238e-06,3.4853862199543272e-06,2.6201968519958186e-06,4.865317869536971e-07
2016,3.472561979491116e-06,3.097199546862685e-06,4.4861098290129224e-06,2.9603333512793843e-06,4.066171843992399e-07
2017,3.7890206986782946e-06,3.1819745779001116e-06,5.019059971485737e-06,3.023252231522852e-06,3.717277823704161e-07
2018,4.220543363864237e-06,3.3189280786771746e-06,5.489706040862075e-06,3.217399412847044e-06,3.3478181076240783e-07
2019,4.8093454367847954e-06,3.678436301113308e-06,5.9576189510579525e-06,3.6181090528053517e-06,3.501440509756648e-07
