year,internet,spacecraft,antibiotics,neural network,nuclear energy
1930,7.539012604672125e-08,6.631656676184657e-09,6.197909816723398e-08,2.3746385076549105e-09,2.7640524960118436e-08
1931,1.5454953136310022e-07,1.256595217562812e-08,5.5542213126377356e-08,2.2434331872370603e-09,3.1390345779052405e-08
1932,1.5679731156713143e-07,1.2804867729635357e-08,5.370340219745806e-08,2.1816333838670894e-09,4.029483622166755e-08
1933,1.8220253092393612e-07,1.5542255490544728e-08,5.854881976463667e-08,2.182618106091486e-09,4.3909165763673334e-08
1934,1.829515927087577e-07,1.5583133668371574e-08,8.2648477783831e-08,2.1821190846324107e-09,4.673439916011038e-08
1935,1.741499396832959e-07,1.6580790054446633e-08,8.013651094294718e-08,2.287160296472151e-09,4.559201068660939e-08
1936,1.7362107142458528e-07,1.97913050511581e-08,9.031504047011093e-08,2.8599647352737077e-09,5.078697035540028e-08
1937,1.8154271686340477e-07,2.0486887813182212e-08,9.121929820229571e-08,1.5441683031453782e-09,5.5324826418536236e-08
1938,2.3610820207298214e-07,1.3703294285008891e-08,1.0735328414319361e-07,1.3848522586615684e-09,5.6435782000033696e-08
1939,2.4598080994705664e-07,2.197610177366384e-08,1.2795134365520662e-07,1.9599008428088686e-09,5.592881180405129e-08
1940,2.357693189926545e-07,1.9746047204084938e-08,1.523477813744226e-07,2.043509619456937e-09,5.761997391916042e-08
1941,2.357589969438832e-07,2.405245019226105e-08,2.0248984549426601e-07,2.1057184686400022e-09,6.107185950605348e-08
1942,2.347874457888802e-07,2.4806751307877254e-08,2.9586987805783694e-07,1.9790318828150077e-09,1.0180295497470252e-07
1943,2.408034010466441e-07,4.527150339130236e-08,4.458493030640958e-07,2.1574998692359363e-09,2.4667671650166086e-07
1944,2.590776305413537e-07,7.268105552325568e-08,6.246768825387708e-07,2.4660973382431955e-09,3.682904300099971e-07
1945,1.200615238517682e-07,7.570569098598005e-08,8.642204406074582e-07,2.3730889198159133e-09,4.5818543471996626e-07
1946,2.1745264251352543e-07,8.573718468320366e-08,1.271619183285111e-06,1.9307267213568883e-09,5.686527714424525e-07
1947,2.1586054326743526e-07,9.240287412805501e-08,1.9079605501864146e-06,2.5776860328769705e-09,6.730543194840723e-07
1948,2.2555502202687666e-07,9.103191737120612e-08,2.6148196740548106e-06,3.025368904801302e-09,7.82552242688845e-07
1949,2.26018819945598e-07,1.0172226508739105e-07,3.517857535432053e-06,3.445762370871527e-09,8.707832694909711e-07
1950,2.2992818579251457e-07,8.645697827499735e-08,4.600678096774605e-06,4.166198835325081e-09,8.618789664183168e-07
1951,2.2828387703986511e-07,7.110523749163735e-08,5.614779283291682e-06,5.655108950564092e-09,9.92117983449654e-07
1952,2.1632615262604356e-07,7.316238132786575e-08,6.594734314952737e-06,5.891269723049382e-09,1.3330841543027612e-06
1953,1.1595878157688588e-07,7.756668720025418e-08,7.435513811263458e-06,8.726227166450899e-09,1.8006971730853496e-06
1954,1.0450447572387032e-07,9.252051789778092e-08,8.04688249494185e-06,9.025660814962081e-09,2.324301350244338e-06
1955,1.0733782017182034e-07,1.5231108491902438e-07,8.599370994082685e-06,9.286329947074838e-09,2.969636352949984e-06
1956,1.0829132692949779e-07,3.45811101500258e-07,8.903093773580753e-06,1.1646768046023683e-08,3.5170475771094185e-06
1957,1.1403224463896981e-07,6.288517203158404e-07,8.922654154324456e-06,1.3496881784821496e-08,3.965130963885193e-06
1958,1.0518879041608387e-07,1.213181705809038e-06,8.713496192009579e-06,1.3936500153315697e-08,4.213015994228693e-06
1959,1.1274713203533538e-07,4.473907178821028e-06,8.418768217666184e-06,1.802899541761668e-08,4.305671128333546e-06
1960,1.0890465176486126e-07,6.252860317143164e-06,8.12484580592354e-06,1.8310770877724306e-08,4.158810907841014e-06
1961,1.296453770608227e-07,7.982240075270803e-06,7.800515013351677e-06,2.004061613285797e-08,3.956068984020281e-06
1962,1.280539073111875e-07,1.0324083855753736e-05,7.2597848474385624e-06,2.698240815501851e-08,3.6700157315700773e-06
1963,1.329304403377815e-07,1.2740700481929578e-05,6.7685679709938995e-06,2.918768490987679e-08,3.4170847637174773e-06
1964,1.4366310982108894e-07,1.5132525437674563e-05,6.418919170414483e-06,3.025090697780389e-08,3.2609581645764204e-06
1965,1.5313395824405924e-07,1.673248290704318e-05,6.221018941638639e-06,3.3368144588700026e-08,3.207049711509821e-06
1966,1.4926986840230988e-07,1.5303896759633062e-05,6.08007290736623e-06,3.2551622492731676e-08,3.0816449298397075e-06
1967,1.571514992740727e-07,1.5180460755865558e-05,5.909420380589836e-06,3.263557816054633e-08,3.0404251966891545e-06
1968,1.3942520008366648e-07,1.5143812439483944e-05,5.7880830439671635e-06,3.4500926369775345e-08,2.995928085169908e-06
1969,1.599430930873272e-07,1.4348694605814671e-05,5.863434501358304e-06,3.215575589925785e-08,2.9597743024721368e-06
1970,2.1382009794481049e-07,1.3133690913491591e-05,5.851962807160556e-06,3.056642209183938e-08,3.0004163806194943e-06
1971,3.022921030318823e-07,1.170635548370618e-05,5.786425865445771e-06,3.519863779016014e-08,3.2855897517590297e-06
1972,3.4903300770240874e-07,1.0818996437527468e-05,5.859677502582729e-06,3.4481517284325395e-08,3.6581441987339403e-06
1973,3.7103625321372693e-07,1.0181505087660168e-05,5.835535907700822e-06,3.683119834515683e-08,4.128315926063157e-06
1974,4.095832617195023e-07,9.78991223275573e-06,5.951326820812548e-06,4.131084284970348e-08,4.696933773727453e-06
1975,4.5710305305947584e-07,9.22169341980147e-06,6.09280477955768e-06,4.238090690294223e-08,5.139595955938603e-06
1976,4.952264334485384e-07,8.686547390977597e-06,6.188768594483918e-06,4.3613837057738484e-08,5.589850695335892e-06
1977,4.906291498788358e-07,8.395478979699484e-06,6.383019573214759e-06,4.7188806362452596e-08,6.020258386537794e-06
1978,6.324606847130099e-07,8.118307688066904e-06,6.412896784776682e-06,4.5536735089018224e-08,6.069814438498204e-06
1979,6.221944074878496e-07,7.955417260063768e-06,6.5072552177168415e-06,4.7394714050178315e-08,5.993561042519754e-06
1980,6.466062722714534e-07,7.7986508943338e-06,6.6234268172950455e-06,4.6718859598409475e-08,5.837098334333339e-06
1981,6.772856157815404e-07,7.60267106362075e-06,6.68348748230788e-06,5.002750685141015e-08,5.479129561487233e-06
1982,7.551592669281199e-07,7.558103131291968e-06,6.763988494640216e-06,5.8743406139427634e-08,5.245597802984646e-06
