year,quantum mechanics,theory of relativity,general relativity,special relativity
1880,8.5541193295402e-09,7.442834909895549e-09,5.911089931024246e-09,2.1893870327804876e-09
1881,7.913943032646287e-09,6.768608608122482e-09,2.3585001372529645e-09,1.7117309355655204e-09
1882,7.60840864120839e-09,6.328931107365702e-09,2.3746463089542e-09,1.5971555387763102e-09
1883,7.1339407278373355e-09,6.355920232586116e-09,2.393333559114197e-09,1.4876629452130275e-09
1884,7.1339407278373355e-09,6.460200792963405e-09,2.326805783762051e-09,1.4876629452130275e-09
1885,6.270450274094484e-09,6.532746452918887e-09,2.1056948922610577e-09,9.350290700435186e-10
1886,6.1830505517144834e-09,6.24829943737407e-09,2.2893217202898543e-09,1.0399586826613317e-09
1887,1.5991834721530905e-09,2.8283133315535174e-09,8.248296688519372e-10,1.9502928637140015e-10
1888,2.859580945051882e-10,2.182939460145964e-09,8.112695753277016e-10,1.5627739975115114e-10
1889,2.177296418556399e-09,7.883172386694402e-09,9.178280437259292e-10,3.055935782203534e-10
1890,2.4419498506622617e-09,8.182696561997993e-09,9.464427475862941e-10,4.0183118935451946e-10
1891,5.314912702408011e-09,1.4698342299232107e-08,1.993369943315797e-09,9.131211838240917e-10
1892,5.485791917947403e-09,1.5159958633675126e-08,2.1731228185987004e-09,9.131211838240917e-10
1893,5.407094710466584e-09,1.5437979539575534e-08,2.0771786215670727e-09,8.081915712062786e-10
1894,5.3282032932581e-09,1.510059866633678e-08,1.9876752049841073e-09,8.291827105885323e-10
1895,5.541894829946033e-09,1.5317508015945588e-08,1.9321486375131364e-09,7.979561594817497e-10
1896,3.871671695544953e-09,9.823455297224598e-09,1.9910281320470855e-09,7.223450448901048e-10
1897,4.877647732144069e-09,1.0214364614045757e-08,2.8589984447340608e-09,6.437550651280537e-10
1898,2.9125852959602636e-09,4.3385018990070376e-09,1.966243019592616e-09,1.4959526672964074e-10
1899,2.776296526008082e-09,3.932122157641287e-09,1.7312841061561152e-09,1.4959526672964074e-10
1900,2.793459697685614e-09,3.5655429025949208e-09,1.7980700242218158e-09,1.4959526672964074e-10
1901,3.005072244615421e-09,4.1203189372301145e-09,1.8049214127259715e-09,1.2860412734738702e-10
1902,3.235277916600689e-09,4.3565493534109785e-09,1.83261571989097e-09,1.4118384437735087e-10
1903,1.290849251894028e-08,9.551082847233542e-09,4.660952734880652e-09,1.943467952046442e-09
