year,nuclear energy,nuclear reactor,nuclear physics,nuclear bomb,quantum mechanics,theory of relativity
1916,7.790212720935687e-09,6.054539293531836e-09,5.77524319736059e-09,2.1168873201978958e-10,3.845451650560541e-09,1.3109299920797758e-07
1917,4.235111755338369e-09,1.6997702402345357e-09,4.385506831691302e-09,2.2496088622877711e-10,3.745117521658514e-09,2.2053694273747674e-07
1918,4.454080674723811e-09,1.6997702402345357e-09,4.7828540731106475e-09,2.2496088622877711e-10,4.701781885456985e-09,3.1793447569689844e-07
1919,4.44705164062301e-09,1.6024318469365362e-09,4.803391805339809e-09,1.8389577063507697e-10,5.042861643148441e-09,4.265815903352145e-07
1920,4.317627994219832e-09,1.7430267279120289e-09,5.229708525360849e-09,1.5674284786770798e-10,7.109246603116087e-09,5.467636424886077e-07
1921,5.084901593042725e-09,1.7931219891845603e-09,4.946518312018025e-09,1.4285595325727992e-10,7.963625230486152e-09,6.283223036783271e-07
1922,1.681377471081578e-08,8.376011534162929e-09,5.925983445025691e-09,4.486600466147017e-10,1.0332068364561827e-08,6.911343157461098e-07
1923,1.770034576052483e-08,8.446599564623395e-09,7.955374416763432e-09,3.575438962756726e-10,3.380605422086719e-08,7.335987180263308e-07
1924,2.2066807228715568e-08,1.0000441110134619e-08,9.369096992276456e-09,3.674634069250615e-10,5.791169810959967e-08,6.940242691655385e-07
1925,2.6072191360225283e-08,1.0721273640704584e-08,1.7276126888193007e-08,4.766804550288789e-10,1.0440749433071606e-07,6.521619796576568e-07
1926,2.7966514235374824e-08,1.0917947272450133e-08,1.7791212967141086e-08,5.202034299354809e-10,1.4041443141543652e-07,6.019803555317489e-07
1927,3.068168194508836e-08,1.2491000024000039e-08,1.9567577530521518e-08,5.849743328623092e-10,1.7802102569852707e-07,5.458681614024994e-07
1928,3.4141776528955655e-08,1.3223398340597318e-08,2.317881059310523e-08,6.499104548180717e-10,2.2121941753042558e-07,5.472419275192359e-07
1929,2.4294591810525287e-08,6.0773145087773224e-09,2.3311728690268907e-08,4.010048126890098e-10,2.86848267868781e-07,5.408824809625758e-07
1930,2.7640524960118436e-08,7.47588429257056e-09,2.7428575696423052e-08,3.776819571374038e-10,3.125371188517079e-07,5.466468898493051e-07
1931,3.1390345779052405e-08,9.11198984717857e-09,3.6952997067058694e-08,4.043332157183903e-10,3.536330904932835e-07,5.642986063822012e-07
1932,4.029483622166755e-08,1.0480416122250957e-08,4.157120505768727e-08,1.1263266490115141e-09,3.7358527224132636e-07,5.526778982404121e-07
